,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
130,6zJSq1cT8fEkbsuwj97O7X,Roll Up Your Sleeves,Meg Mac,2015-03-23,0.597,0.526,0.396,79.015,185059
131,0eFRusokOSibQkJS6hE9pl,Hands of Time,Groove Armada,2003-06-23,0.752,0.466,0.399,91.193,262267
132,0MYplMrSTCJ6WnTNqAOd1P,WALLS,Kings of Leon,2016-09-23,0.56,0.32,0.107,82.511,329667
133,7K8qvlD4tcyx2HUy6QfcSp,Concrete,Tom Odell,2016-06-10,0.636,0.532,0.404,78.033,230427
134,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,James Arthur,2016-09-09,0.4,0.564,0.483,99.269,211240
135,66dl1WStQJBb3borGOHeev,Let It Go,James Bay,2014-01-01,0.566,0.282,0.262,147.107,259400
136,1KZyVnyptQcPzkx7ELCnZC,Hold Back The River,James Bay,2015-03-20,0.715,0.715,0.506,134.923,238747
137,1WOxmQAMnyvTdTuzZhuTBo,Need The Sun To Break,James Bay,2015-03-20,0.537,0.485,0.293,152.012,224813
138,5WLtenwEwifJHYTUw514RH,I'm Not The Only One,Sam Smith,2015-11-06,0.679,0.495,0.49,81.996,239317
139,6cSsWi1c3ewIEmbqdUWsUM,Unsteady,X Ambassadors,2015-06-30,0.376,0.662,0.236,107.209,193546
140,6lD9mZ4KoROVxqRMJ3JW20,Aicha - Version Mixte,Khaled,1997-01-01,0.592,0.657,0.484,170.164,259600
141,2YJQZCFW12OCGrjTc0NaEC,Baby's Got Sauce,G. Love & Special Sauce,1994,0.8,0.532,0.863,140.156,233960
142,3F4OHqRugsVvteMDnyOQQ1,Rodeo Clowns,G. Love & Special Sauce,1999-06-30,0.774,0.682,0.784,195.384,176733
143,4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,Faces,1973,0.601,0.574,0.8,147.964,214080
144,2UVSP6BlF8AgQOpzfDUVL2,Old Man,Neil Young,1972-02-14,0.707,0.299,0.48,141.269,202693
145,74X1epeRufHckhuX1KFD04,Hallelujah,Jeff Buckley,1994,0.339,0.143,0.0948,101.213,413320
146,6e165g8fp2WDCBwF1zxLMh,Fly To The Angels,Slaughter,1995-01-01,0.496,0.576,0.371,119.953,272240
147,0bgQXXrKEPnnqdQRp81SpL,Boom Boom,The Animals,2017-12-15,0.445,0.431,0.905,82.188,195057
148,4fUU9WKxEgJXyrZJsUA2iP,Can't You See,The Marshall Tucker Band,1973,0.406,0.713,0.577,164.444,365093
149,6yLIqXX9edg1x0HZS7cZEv,The Air That I Breathe - 2008 Remaster,The Hollies,1974-03-01,0.279,0.473,0.246,167.792,257107
150,1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,The Smiths,1984,0.611,0.846,0.751,103.912,162920
151,4xiyq1iRdsxuU1BPUJ490Z,Close To Me,The Cure,1985-08-26,0.724,0.523,0.965,185.075,203267
152,6ml6iL8HUdQKgtMaehAZc8,Start Me Up - 2009 Re-Mastered Digital Version,The Rolling Stones,1981-08-24,0.631,0.932,0.971,122.429,213067
153,7KkaeZPzRfPnukEJHv1hyL,Take A Message,Remy Shand,2002,0.626,0.611,0.564,79.911,243867
154,29BLPOiOWqrTzntFdm3WpE,Fire on the Mountain,Aṣa,2007-10-16,0.805,0.514,0.695,108.008,280107
155,0eHZ7dpv4iT7bMEYDoILIa,If I Could Turn Back Time,Cher,1989-01-01,0.658,0.575,0.504,108.329,239827
156,76n6X1T74Dd36ULN0ES0Ao,At Last - Bonus Track,Various Artists,2009-07-10,0.415,0.474,0.417,192.074,139040
157,7LA5YZPyUAxk8ZrmPas1yV,Strong,London Grammar,2013-01-01,0.581,0.402,0.261,75.991,275440
